s,x,y,kappa,n_l,n_r
11.5,2.653,3.147,0.162,0.63,0.604
11.6,2.595,3.229,0.326,0.615,0.622
11.7,2.535,3.309,0.506,0.6,0.638
11.8,2.471,3.385,0.714,0.585,0.654
11.9,2.402,3.458,0.959,0.571,0.667
12.0,2.326,3.523,1.245,0.557,0.679
12.1,2.243,3.578,1.563,0.545,0.689
12.2,2.152,3.62,1.879,0.534,0.696
12.3,2.055,3.644,2.125,0.525,0.701
12.4,1.955,3.646,2.228,0.517,0.702
12.5,1.858,3.626,2.157,0.511,0.701
12.6,1.766,3.585,1.944,0.507,0.697
12.7,1.685,3.527,1.66,0.504,0.691
12.8,1.614,3.457,1.368,0.503,0.682
12.9,1.554,3.377,1.1,0.504,0.67
13.0,1.502,3.292,0.866,0.507,0.657
13.1,1.458,3.202,0.665,0.511,0.642
13.2,1.42,3.109,0.488,0.516,0.625
13.3,1.387,3.015,0.329,0.523,0.607
13.4,1.357,2.92,0.178,0.53,0.588
13.5,1.328,2.824,0.029,0.539,0.569
13.6,1.3,2.728,-0.127,0.548,0.55
13.7,1.27,2.633,-0.296,0.557,0.531
13.8,1.238,2.538,-0.486,0.566,0.513
13.9,1.201,2.445,-0.704,0.574,0.496
14.0,1.158,2.355,-0.953,0.582,0.48
14.1,1.106,2.269,-1.226,0.589,0.466
14.2,1.045,2.19,-1.505,0.595,0.454
14.3,0.972,2.122,-1.761,0.6,0.444
14.4,0.888,2.067,-1.965,0.603,0.436
14.5,0.796,2.03,-2.097,0.604,0.43
14.6,0.697,2.013,-2.151,0.603,0.426
14.7,0.597,2.018,-2.118,0.6,0.426
14.8,0.501,2.044,-1.99,0.596,0.427
14.9,0.412,2.089,-1.769,0.59,0.432
15.0,0.332,2.149,-1.486,0.582,0.438
15.1,0.262,2.22,-1.183,0.572,0.448
15.2,0.2,2.299,-0.895,0.562,0.459
15.3,0.146,2.383,-0.64,0.55,0.472
15.4,0.097,2.47,-0.421,0.537,0.488
15.5,0.052,2.56,-0.232,0.524,0.505
15.6,0.009,2.65,-0.064,0.51,0.523
15.7,-0.033,2.741,0.093,0.496,0.543
15.8,-0.077,2.831,0.246,0.483,0.563
15.9,-0.122,2.92,0.405,0.469,0.584
16.0,-0.171,3.007,0.576,0.457,0.604
16.1,-0.225,3.091,0.77,0.445,0.625
16.2,-0.285,3.171,0.992,0.434,0.644
16.3,-0.353,3.244,1.248,0.424,0.663
16.4,-0.429,3.309,1.534,0.415,0.68
16.5,-0.515,3.361,1.835,0.408,0.696
16.6,-0.608,3.397,2.11,0.401,0.71
16.7,-0.707,3.412,2.301,0.396,0.721
16.8,-0.806,3.404,2.351,0.391,0.731
16.9,-0.901,3.372,2.242,0.388,0.738
17.0,-0.986,3.32,2.012,0.386,0.743
17.1,-1.059,3.252,1.726,0.385,0.745
17.2,-1.119,3.172,1.441,0.384,0.746
17.3,-1.167,3.085,1.189,0.384,0.744
17.4,-1.205,2.992,0.981,0.385,0.74
17.5,-1.234,2.896,0.813,0.386,0.734
17.6,-1.254,2.798,0.679,0.387,0.727
17.7,-1.268,2.699,0.573,0.388,0.718
17.8,-1.277,2.6,0.488,0.389,0.709
17.9,-1.28,2.5,0.42,0.391,0.698
18.0,-1.28,2.4,0.364,0.392,0.687
18.1,-1.276,2.3,0.319,0.393,0.676
18.2,-1.268,2.2,0.283,0.394,0.664
18.3,-1.258,2.101,0.253,0.394,0.653
18.4,-1.246,2.001,0.23,0.395,0.642
