s,x,y,kappa,n_l,n_r
18.0,-0.807,0.633,0.148,0.562,0.558
18.05,-0.791,0.586,0.172,0.568,0.555
18.1,-0.775,0.539,0.202,0.571,0.569
18.15,-0.758,0.492,0.24,0.584,0.568
18.2,-0.741,0.445,0.285,0.599,0.599
18.25,-0.723,0.398,0.338,0.612,0.647
18.3,-0.704,0.352,0.4,0.622,0.669
18.35,-0.685,0.306,0.473,0.62,0.664
18.4,-0.664,0.26,0.557,0.627,0.667
18.45,-0.642,0.215,0.652,0.645,0.69
18.5,-0.618,0.171,0.76,0.653,0.697
18.55,-0.593,0.128,0.879,0.652,0.742
18.6,-0.566,0.086,1.008,0.651,0.788
18.65,-0.537,0.045,1.144,0.652,0.815
18.7,-0.506,0.006,1.279,0.653,0.89
18.75,-0.472,-0.031,1.406,0.655,0.932
18.8,-0.436,-0.065,1.511,0.657,1.009
18.85,-0.397,-0.097,1.584,0.656,1.063
18.9,-0.356,-0.125,1.613,0.654,1.035
18.95,-0.313,-0.15,1.594,0.655,0.956
19.0,-0.268,-0.171,1.53,0.655,0.881
19.05,-0.221,-0.189,1.427,0.654,0.806
19.1,-0.173,-0.204,1.298,0.654,0.749
19.15,-0.124,-0.215,1.156,0.651,0.706
19.2,-0.075,-0.223,1.009,0.647,0.671
19.25,-0.025,-0.229,0.868,0.632,0.636
19.3,0.024,-0.233,0.582,0.617,0.625
19.35,0.074,-0.235,0.366,0.574,0.594
